Week,Activity Week Label,Activity Desc,Activity Name,Activity Type,Activity Type Name,Location Name,Start Date Time,End Date Time,Day,Staff
23,,,"MA35210/S/1/02, MAM5220/S/1/02, PGM0910/S/1/02",Seminar,SEMINAR,VC-0.06,27/01/2025 @ 09:00:00,27/01/2025 @ 10:00:00,Monday,"Kenobi, Kim;<br>Lutkins, Sylvia"
23,,MA37410 LECTURE 1,MA37410/L/1/01,Lecture,LECTURE,LL-G3,27/01/2025 @ 10:00:00,27/01/2025 @ 11:00:00,Monday,"Gohm, Rolf"
23,,,"MP11010/L/2/01, MT11010/L/2/01",Lecture,LECTURE,EL-0.26,27/01/2025 @ 10:00:00,27/01/2025 @ 11:00:00,Monday,"Pitchford, Alexander"
23,,,"MA35210/L/2/01, MAM5220/L/2/01",Lecture,LECTURE,MP-0.11,27/01/2025 @ 11:00:00,27/01/2025 @ 13:00:00,Monday,"Kenobi, Kim"
23,,MA03610 LECTURE 1,MA03610/L/1/01,Lecture,LECTURE,MP-3.02,27/01/2025 @ 12:00:00,27/01/2025 @ 13:00:00,Monday,"Peck, Daniel"
23,,,"MA11310/L/1/01, MT11310/L/1/01",Lecture,LECTURE,MP-0.10,27/01/2025 @ 13:00:00,27/01/2025 @ 14:00:00,Monday,"Kiukas, Jukka"
23,,,"MA25610/L/2/01, MT25610/L/2/01",Lecture,LECTURE,MP-0.10,27/01/2025 @ 14:00:00,27/01/2025 @ 15:00:00,Monday,"Cox, Simon"
23,,,"MA21510/L/1/01, MT21510/L/1/01",Lecture,LECTURE,MP-0.11,27/01/2025 @ 15:00:00,27/01/2025 @ 16:00:00,Monday,"Mughal, Adil"
23,,,"MA35210/L/1/01, MAM5220/L/1/01",Lecture,LECTURE,HO-A12,27/01/2025 @ 15:00:00,27/01/2025 @ 17:00:00,Monday,"Kenobi, Kim"
23,,,"MA25220/L/3/01, MT25220/L/3/01",Lecture,LECTURE,LL-G3,27/01/2025 @ 16:00:00,27/01/2025 @ 17:00:00,Monday,"Davies, Tudur"
23,,MA34920 LECTURE 2,MA34920/L/2/01,Lecture,LECTURE,MP-0.11,27/01/2025 @ 17:00:00,27/01/2025 @ 18:00:00,Monday,"Cox, Simon"
23,,,"MA11210/L/1/01, MT11210/L/1/01",Lecture,LECTURE,MP-0.10,28/01/2025 @ 09:00:00,28/01/2025 @ 10:00:00,Tuesday,"Vellender, Adam"
23,,MA01020 TUTORIAL 2,MA01020/T/2/01,Tutorial,TUTORIAL,LL-G3A,28/01/2025 @ 11:00:00,28/01/2025 @ 13:00:00,Tuesday,"Pitchford, Alexander;<br>Rogers, Rosemary"
23,,MA38310 LECTURE 1,MA38310/L/1/01,Lecture,LECTURE,MP-3.05,28/01/2025 @ 11:00:00,28/01/2025 @ 12:00:00,Tuesday,"Evans, Gwion"
23,,,"MA25610/L/1/01, MT25610/L/1/01",Lecture,LECTURE,MP-0.10,28/01/2025 @ 13:00:00,28/01/2025 @ 14:00:00,Tuesday,"Cox, Simon"
23,,,"MA11110/L/2/01, MT11110/L/2/01",Lecture,LECTURE,LL-A6,28/01/2025 @ 14:00:00,28/01/2025 @ 15:00:00,Tuesday,"Douglas, Robert"
23,,,"MA34210/L/1/01, MT34210/L/1/01",Lecture,LECTURE,MP-0.10,28/01/2025 @ 14:00:00,28/01/2025 @ 15:00:00,Tuesday,"Vellender, Adam"
23,,MA15210 LECTURE 1,MA15210/L/1/01,Lecture,LECTURE,HO-C64,28/01/2025 @ 15:00:00,28/01/2025 @ 16:00:00,Tuesday,"Kenobi, Kim;<br>Evans, Gwion;<br>Gohm, Rolf;<br>Davies, Tudur;<br>Kiukas, Jukka"
23,,,"MA21410/L/1/01, MT21410/L/1/01",Lecture,LECTURE,MP-0.10,28/01/2025 @ 15:00:00,28/01/2025 @ 16:00:00,Tuesday,"Douglas, Robert"
23,,,"MA25220/L/2/01, MT25220/L/2/01",Lecture,LECTURE,LL-G3,28/01/2025 @ 16:00:00,28/01/2025 @ 17:00:00,Tuesday,"Davies, Tudur"
23,,,"MA37010/L/2/01, MAM7020/L/2/01",Lecture,LECTURE,MP-0.10,28/01/2025 @ 16:00:00,28/01/2025 @ 17:00:00,Tuesday,"Douglas, Robert"
23,,,"MA32410/L/2/01, MT32410/L/2/01",Lecture,LECTURE,LL-C63,28/01/2025 @ 17:00:00,28/01/2025 @ 18:00:00,Tuesday,"Evans, Gwion"
23,,FBaPS - RESEARCH COMMITTEE - GLENWEN MORGANS gsm,XS1/2 FBaPS RESEARCH JM MP-2.04,Booking,BOOKING,MP-2.04,29/01/2025 @ 10:00:00,29/01/2025 @ 11:00:00,Wednesday,
23,,MA00910 LECTURE 2,MA00910/L/2/01,Lecture,LECTURE,LL-C64,29/01/2025 @ 10:00:00,29/01/2025 @ 11:00:00,Wednesday,"Pitchford, Alexander"
23,,MA25710 LECTURE 2,MA25710/L/2/01,Lecture,LECTURE,MP-0.11,29/01/2025 @ 10:00:00,29/01/2025 @ 11:00:00,Wednesday,"Mughal, Adil"
23,,MA34920 PRACTICAL 1,MA34920/P/1/01,Practical,PRACTICAL,LL-G3,29/01/2025 @ 10:00:00,29/01/2025 @ 12:00:00,Wednesday,"Cox, Simon"
23,,,"MA21510/L/2/01, MT21510/L/2/01",Lecture,LECTURE,MP-0.11,29/01/2025 @ 12:00:00,29/01/2025 @ 13:00:00,Wednesday,"Mughal, Adil"
23,,FBaPS - FACULTY EXECUTIVE - GLENWEN MORGANS gsm,XS1/2 FBaPS EXEC JM MP-2.04,Booking,BOOKING,MP-2.04,30/01/2025 @ 09:00:00,30/01/2025 @ 11:00:00,Thursday,
23,,MA38310 LECTURE 2,MA38310/L/2/01,Lecture,LECTURE,MP-3.05,30/01/2025 @ 09:00:00,30/01/2025 @ 10:00:00,Thursday,"Evans, Gwion"
23,,MA26620 LECTURE 2,MA26620/L/2/01,Lecture,LECTURE,VC-B1.07,30/01/2025 @ 10:00:00,30/01/2025 @ 11:00:00,Thursday,"Vellender, Adam"
23,,,"MA32410/L/3/01, MT32410/L/3/01",Lecture,LECTURE,LL-C64,30/01/2025 @ 10:00:00,30/01/2025 @ 11:00:00,Thursday,"Evans, Gwion"
23,,MA34920 LECTURE 1,MA34920/L/1/01,Lecture,LECTURE,EL-1.16,30/01/2025 @ 11:00:00,30/01/2025 @ 12:00:00,Thursday,"Cox, Simon"
23,,,"MA21410/L/2/01, MT21410/L/2/01",Lecture,LECTURE,MP-0.11,30/01/2025 @ 11:00:00,30/01/2025 @ 12:00:00,Thursday,"Douglas, Robert"
23,,MA03610 LECTURE 2,MA03610/L/2/01,Lecture,LECTURE,MP-3.02,30/01/2025 @ 13:00:00,30/01/2025 @ 14:00:00,Thursday,"Peck, Daniel"
23,,,"MA11210/L/2/01, MT11210/L/2/01",Lecture,LECTURE,MP-0.11,30/01/2025 @ 13:00:00,30/01/2025 @ 14:00:00,Thursday,"Vellender, Adam"
23,,,"MA35210/S/1/01, MAM5220/S/1/01, PGM0910/S/1/01",Seminar,SEMINAR,HO-C4,30/01/2025 @ 13:00:00,30/01/2025 @ 14:00:00,Thursday,"Kenobi, Kim;<br>Lutkins, Sylvia"
23,,MA26620 PRACTICAL 2,MA26620/P/2/01,Practical,PRACTICAL,MP-3.03,30/01/2025 @ 14:00:00,30/01/2025 @ 16:00:00,Thursday,"Kenobi, Kim;<br>Jones, Patience;<br>Vellender, Adam"
23,,MA37410 LECTURE 2,MA37410/L/2/01,Lecture,LECTURE,LL-G3,30/01/2025 @ 14:00:00,30/01/2025 @ 15:00:00,Thursday,"Gohm, Rolf"
23,,,"MP11010/L/1/01, MT11010/L/1/01",Lecture,LECTURE,MP-0.15,30/01/2025 @ 14:00:00,30/01/2025 @ 15:00:00,Thursday,"Pitchford, Alexander"
23,,MA36010 LECTURE 2,MA36010/L/2/01,Lecture,LECTURE,LL-C63,30/01/2025 @ 15:00:00,30/01/2025 @ 16:00:00,Thursday,"Kiukas, Jukka"
23,,,"MA11310/L/2/01, MT11310/L/2/01",Lecture,LECTURE,EL-0.01,30/01/2025 @ 17:00:00,30/01/2025 @ 18:00:00,Thursday,"Kiukas, Jukka"
23,,,"MA37010/L/1/01, MAM7020/L/1/01",Lecture,LECTURE,EL-0.26,30/01/2025 @ 17:00:00,30/01/2025 @ 18:00:00,Thursday,"Douglas, Robert"
